run_id,scenario,feature_type,metric,window_size,filter_id,eps,cover_intervals,cover_overlap,mds_mode
one_pulse_MDS1,one_pulse,binary,jaccard,1000,1,0.6414671243465375,8,0.3,1D
one_pulse_distance_to_medoid,one_pulse,binary,jaccard,1000,2,0.6414671243465375,8,0.3,1D
one_pulse_mean_distance,one_pulse,binary,jaccard,1000,3,0.6414671243465375,8,0.3,1D
one_pulse_introgressed_fraction,one_pulse,binary,jaccard,1000,4,0.6414671243465375,8,0.3,1D
one_pulse_tract_count,one_pulse,binary,jaccard,1000,5,0.6414671243465375,8,0.3,1D
one_pulse_mean_tract_length,one_pulse,binary,jaccard,1000,6,0.6414671243465375,8,0.3,1D
two_pulses_MDS1,two_pulses,binary,jaccard,1000,1,0.8345494511345763,8,0.3,1D
two_pulses_distance_to_medoid,two_pulses,binary,jaccard,1000,2,0.8345494511345763,8,0.3,1D
two_pulses_mean_distance,two_pulses,binary,jaccard,1000,3,0.8345494511345763,8,0.3,1D
two_pulses_introgressed_fraction,two_pulses,binary,jaccard,1000,4,0.8345494511345763,8,0.3,1D
two_pulses_tract_count,two_pulses,binary,jaccard,1000,5,0.8345494511345763,8,0.3,1D
two_pulses_mean_tract_length,two_pulses,binary,jaccard,1000,6,0.8345494511345763,8,0.3,1D
one_pulse_desert_MDS1,one_pulse_desert,binary,jaccard,1000,1,0.6425276700995781,8,0.3,1D
one_pulse_desert_distance_to_medoid,one_pulse_desert,binary,jaccard,1000,2,0.6425276700995781,8,0.3,1D
one_pulse_desert_mean_distance,one_pulse_desert,binary,jaccard,1000,3,0.6425276700995781,8,0.3,1D
one_pulse_desert_introgressed_fraction,one_pulse_desert,binary,jaccard,1000,4,0.6425276700995781,8,0.3,1D
one_pulse_desert_tract_count,one_pulse_desert,binary,jaccard,1000,5,0.6425276700995781,8,0.3,1D
one_pulse_desert_mean_tract_length,one_pulse_desert,binary,jaccard,1000,6,0.6425276700995781,8,0.3,1D
